,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,Game,Home,MP,ORB,PF,PTS,STL,TOV,TP,TPA,TPP,TRB,Team,Win,X,Y,Year
0,30,9,31,48,89,0.539,13,15,0.867,1,1,240,12,24,109,5,17,0,0,,43,Lakers,1,1,,1980
1,32,7,37,48,95,0.505,8,12,0.667,2,1,240,15,27,104,12,26,0,1,0.0,52,Lakers,0,2,,1980
2,20,5,34,44,92,0.478,23,30,0.767,3,0,240,22,25,111,5,20,0,1,0.0,56,Lakers,1,3,,1980
3,23,6,31,44,93,0.473,14,19,0.737,4,0,240,18,22,102,12,19,0,0,,49,Lakers,0,4,,1980
4,28,6,37,41,91,0.451,26,33,0.7879999999999999,5,1,240,19,27,108,7,21,0,0,,56,Lakers,1,5,,1980
5,27,4,35,45,92,0.489,33,35,0.943,6,0,240,17,22,123,14,17,0,2,0.0,52,Lakers,1,6,,1980
6,23,5,29,41,95,0.43200000000000005,16,20,0.8,1,1,240,25,21,98,6,19,0,1,0.0,54,Celtics,1,7,,1981
7,17,7,34,41,82,0.5,8,13,0.615,2,1,240,14,27,90,6,22,0,3,0.0,48,Celtics,0,8,,1981
8,24,6,28,40,89,0.449,12,19,0.632,3,0,240,16,25,94,12,11,2,3,0.667,44,Celtics,1,9,,1981
9,22,6,30,35,74,0.473,16,24,0.667,4,0,240,17,22,86,5,22,0,3,0.0,47,Celtics,0,10,,1981
10,25,8,35,41,94,0.436,27,35,0.7709999999999999,5,1,240,19,23,109,5,14,0,3,0.0,54,Celtics,1,11,,1981
11,26,0,28,43,78,0.551,15,18,0.833,6,0,240,9,21,102,6,13,1,4,0.25,37,Celtics,1,12,,1981
12,34,7,31,49,93,0.527,26,35,0.743,1,0,240,19,26,124,11,22,0,0,,50,Lakers,1,13,,1982
13,25,6,22,35,83,0.42200000000000004,24,37,0.649,2,0,240,17,21,94,11,18,0,5,0.0,39,Lakers,0,14,,1982
14,30,5,31,50,91,0.5489999999999999,28,47,0.596,3,1,240,17,30,129,15,18,1,1,1.0,48,Lakers,1,15,,1982
15,35,4,33,45,97,0.46399999999999997,21,29,0.7240000000000001,4,1,240,16,21,111,10,12,0,1,0.0,49,Lakers,1,16,,1982
16,31,9,23,47,100,0.47,8,16,0.5,5,0,240,26,29,102,5,24,0,2,0.0,49,Lakers,0,17,,1982
17,33,11,34,47,87,0.54,20,25,0.8,6,1,240,15,26,114,12,22,0,0,,49,Lakers,1,18,,1982
18,26,13,32,45,96,0.469,23,31,0.742,1,1,240,21,22,113,11,14,0,0,,53,Sixers,1,19,,1983
19,22,6,28,40,83,0.48200000000000004,23,32,0.7190000000000001,2,1,240,16,16,103,10,18,0,1,0.0,44,Sixers,1,20,,1983
20,27,2,32,45,94,0.479,21,35,0.6,3,0,240,22,23,111,14,19,0,1,0.0,54,Sixers,1,21,,1983
21,29,11,28,42,81,0.519,31,40,0.775,4,0,240,13,28,115,9,17,0,1,0.0,41,Sixers,1,22,,1983
22,25,4,30,43,83,0.518,28,32,0.875,1,1,240,12,30,115,10,16,1,2,0.5,42,Celtics,1,23,,1984
23,20,4,30,45,98,0.45899999999999996,34,48,0.708,2,1,265,20,27,124,13,17,0,2,0.0,50,Celtics,0,24,,1984
24,23,5,27,40,101,0.396,22,31,0.71,3,0,240,17,33,104,5,13,2,5,0.4,44,Celtics,0,25,,1984
25,30,3,25,48,111,0.43200000000000005,31,37,0.838,4,0,265,27,28,129,15,14,2,4,0.5,52,Celtics,1,26,,1984
26,28,5,38,45,87,0.517,28,36,0.778,5,1,240,13,32,121,8,18,3,5,0.6,51,Celtics,1,27,,1984
27,25,8,28,39,84,0.46399999999999997,29,35,0.8290000000000001,6,0,240,13,24,108,7,19,1,3,0.33299999999999996,41,Celtics,0,28,,1984
28,18,3,32,34,86,0.395,43,51,0.843,7,1,240,20,23,111,11,14,0,2,0.0,52,Celtics,1,29,,1984
29,28,4,27,49,100,0.49,14,21,0.667,1,0,240,8,23,114,9,12,2,5,0.4,35,Lakers,0,30,,1985
30,31,5,35,44,92,0.478,20,29,0.69,2,0,240,14,32,109,9,16,1,2,0.5,49,Lakers,1,31,,1985
31,34,6,36,52,96,0.542,28,36,0.778,3,1,240,13,28,136,12,12,4,8,0.5,49,Lakers,1,32,,1985
32,32,0,31,40,83,0.48200000000000004,24,29,0.828,4,1,240,9,24,105,7,14,1,4,0.25,40,Lakers,0,33,,1985
33,40,7,29,50,88,0.568,20,27,0.741,5,1,240,10,19,120,8,9,0,2,0.0,39,Lakers,1,34,,1985
34,27,2,32,43,84,0.512,25,36,0.6940000000000001,6,0,240,12,26,111,10,12,0,2,0.0,44,Lakers,1,35,,1985
35,35,5,32,47,84,0.56,17,27,0.63,1,1,240,10,17,112,15,17,1,4,0.25,42,Celtics,1,36,,1986
36,28,8,29,45,90,0.5,23,24,0.958,2,1,240,14,20,117,9,12,4,9,0.444,43,Celtics,1,37,,1986
37,28,4,31,42,96,0.43799999999999994,19,21,0.905,3,0,240,22,27,104,12,19,1,5,0.2,53,Celtics,0,38,,1986
38,23,6,29,45,78,0.5770000000000001,14,17,0.8240000000000001,4,0,240,11,17,106,8,15,2,6,0.33299999999999996,40,Celtics,1,39,,1986
39,20,7,27,34,84,0.405,27,31,0.871,5,0,240,10,22,96,6,18,1,6,0.16699999999999998,37,Celtics,0,40,,1986
40,34,13,33,49,101,0.485,12,18,0.667,6,1,240,23,23,111,9,14,1,2,0.5,56,Celtics,1,41,,1986
41,32,6,30,55,99,0.556,15,19,0.789,1,1,240,17,24,126,10,13,1,5,0.2,47,Lakers,1,42,,1987
42,44,8,26,56,91,0.615,23,32,0.7190000000000001,2,1,240,7,25,141,8,10,6,8,0.75,33,Lakers,1,43,,1987
43,18,4,24,40,81,0.494,20,27,0.741,3,0,240,8,24,103,8,10,3,11,0.273,32,Lakers,0,44,,1987
44,17,4,31,41,85,0.48200000000000004,23,32,0.7190000000000001,4,0,240,15,16,107,4,11,2,4,0.5,46,Lakers,1,45,,1987
45,16,4,23,43,95,0.45299999999999996,18,22,0.818,5,0,240,17,26,108,7,12,4,8,0.5,40,Lakers,0,46,,1987
46,33,9,31,45,93,0.484,16,23,0.696,6,1,240,13,28,106,11,11,0,5,0.0,44,Lakers,1,47,,1987
47,21,0,22,33,83,0.39799999999999996,25,27,0.9259999999999999,1,1,240,13,18,93,5,10,2,8,0.25,35,Lakers,0,48,,1988
48,27,5,35,35,77,0.455,35,46,0.7609999999999999,2,1,240,8,25,108,6,9,3,6,0.5,43,Lakers,1,49,,1988
49,21,6,33,37,72,0.514,24,34,0.706,3,0,240,5,13,99,8,11,1,3,0.33299999999999996,38,Lakers,1,50,,1988
50,11,3,26,29,72,0.40299999999999997,28,37,0.757,4,0,240,8,30,86,3,16,0,7,0.0,34,Lakers,0,51,,1988
51,26,3,16,37,78,0.474,19,33,0.5760000000000001,5,0,240,15,27,94,7,14,1,4,0.25,31,Lakers,0,52,,1988
52,30,3,28,34,72,0.47200000000000003,35,43,0.8140000000000001,6,1,240,13,19,103,6,14,0,2,0.0,41,Lakers,1,53,,1988
53,30,1,31,43,77,0.5579999999999999,19,27,0.7040000000000001,7,1,240,10,22,108,6,18,3,10,0.3,41,Lakers,1,54,,1988
54,26,5,36,46,83,0.5539999999999999,16,21,0.762,1,1,240,9,28,109,2,13,1,2,0.5,45,Pistons,1,55,,1989
55,21,9,22,44,81,0.5429999999999999,19,21,0.905,2,1,240,13,31,108,3,10,1,8,0.125,35,Pistons,1,56,,1989
56,29,3,30,43,83,0.518,27,32,0.8440000000000001,3,0,240,14,30,114,8,13,1,7,0.14300000000000002,44,Pistons,1,57,,1989
57,21,4,27,34,70,0.486,35,51,0.6859999999999999,4,0,240,9,26,105,3,9,2,3,0.667,36,Pistons,1,58,,1989
58,16,5,35,34,91,0.374,34,46,0.7390000000000001,1,1,240,19,25,105,6,13,3,10,0.3,54,Pistons,1,59,,1990
59,25,7,29,41,90,0.456,15,23,0.652,2,1,265,15,28,105,2,18,8,14,0.5710000000000001,44,Pistons,0,60,,1990
60,19,4,26,43,81,0.531,32,41,0.78,3,0,240,10,26,121,3,14,3,10,0.3,36,Pistons,1,61,,1990
61,19,3,27,42,91,0.462,21,24,0.875,4,0,240,12,30,112,8,12,7,16,0.43799999999999994,39,Pistons,1,62,,1990
62,15,6,28,37,81,0.457,14,23,0.609,5,0,240,16,29,92,9,18,4,6,0.667,44,Pistons,1,63,,1990
63,26,5,30,38,80,0.475,14,18,0.778,1,1,240,9,21,91,11,10,1,7,0.14300000000000002,39,Bulls,0,64,,1991
64,35,1,25,50,81,0.617,7,8,0.875,2,1,240,11,20,107,10,14,0,5,0.0,36,Bulls,1,65,,1991
